alpha,mean_objective,best_objective,worst_objective,mean_time,success_rate,num_instances,feasible_runs,total_runs
0.0,2993.40,1806.00,3302.80,3.623,100.0,10,50,50
0.1,2868.66,1400.00,3273.60,3.504,100.0,10,50,50
0.2,2899.64,1605.00,3290.80,3.735,100.0,10,50,50
0.3,3124.88,1400.00,3509.20,4.552,100.0,10,50,50
0.4,3013.86,1802.00,3519.40,3.769,100.0,10,50,50
0.5,3090.68,1807.00,4091.20,4.100,100.0,10,50,50
0.6,3067.12,1601.00,3627.40,3.764,100.0,10,50,50
0.7,2908.42,1806.00,3170.00,3.432,100.0,10,50,50
0.8,3074.52,1802.00,3507.40,3.788,100.0,10,50,50
0.9,2919.84,1802.00,3264.00,3.447,100.0,10,50,50
1.0,2994.08,1802.00,3664.80,3.827,100.0,10,50,50
