alpha,mean_objective,best_objective,worst_objective,min_time,max_time,median_time,mean_time,success_rate,num_instances,feasible_runs,total_runs
0.0,7143.82,3078.00,10130.00,0.147,0.580,0.173,0.192,100.0,10,50,50
0.1,6462.88,2970.00,8369.20,0.151,0.259,0.174,0.179,100.0,10,50,50
0.2,5964.06,3339.00,8323.00,0.149,0.235,0.170,0.173,100.0,10,50,50
0.3,6829.32,3522.00,9107.40,0.150,0.254,0.176,0.180,100.0,10,50,50
0.4,7264.24,3519.00,9462.40,0.152,0.296,0.177,0.184,100.0,10,50,50
0.5,6426.00,3583.00,7682.80,0.154,0.411,0.179,0.197,100.0,10,50,50
0.6,7416.02,3678.00,11126.40,0.154,0.266,0.181,0.187,100.0,10,50,50
0.7,8110.19,4062.00,9443.00,0.159,0.266,0.184,0.191,98.0,10,49,50
0.8,7437.70,4448.00,9948.80,0.165,0.246,0.181,0.187,100.0,10,50,50
0.9,7696.58,4219.00,10072.80,0.159,0.238,0.183,0.187,100.0,10,50,50
1.0,7608.28,4250.00,8375.40,0.161,0.225,0.186,0.187,100.0,10,50,50
